CompN,EM,nuM,EF,nuF,Vf,E1,E2,E3,v12,v23,G12,G13,G23 
98,1.965978786363008,0.3679368529389956,926.8240177335484,0.3372437114630633,0.1179445453566553,111.04809905978,2.7750609230435,2.7662183644973,0.36334276631273,0.55954203702062,1.8399105870328,1.8274817919318,1.760314466265
99,3.281209479598564,0.386157299943877,419.9813421421338,0.3289209291472463,0.1181016921365379,52.495790742229,4.6351545966153,4.6542263434684,0.37825335503346,0.58978451792169,3.0004482950507,3.0249440505707,2.9266892774679
100,2.5531229611908026,0.3679358285329404,109.70910460080997,0.2340047646222691,0.1184129888627977,15.248891781007,3.4885081683035,3.4747250581417,0.34792693901521,0.5214810180649,2.3684732811204,2.349706362699,2.2795116283672
101,3.1438340966905542,0.3965853272537817,543.3673232627384,0.2579536053008383,0.1185299332221147,67.185821475949,4.5431531892727,4.5399976190965,0.37694239908407,0.62177561851916,2.873220535677,2.8660742795126,2.7795912641296
102,4.164437598702751,0.3676366594488362,440.8483682905169,0.184480347908125,0.1186286635241063,55.990916313363,5.8279796675771,5.8212447510194,0.34025619322051,0.54347683978658,3.9025181319589,3.9006608359677,3.7427797895256
103,4.105753141787472,0.3755528788232998,598.6845091989281,0.3162543861536006,0.1186675556862604,74.665268996909,5.7773318780666,5.7734119812069,0.36684547095259,0.56747271523065,3.8154655118281,3.8123165309984,3.6822420495337
104,1.281046610516759,0.3669747338079679,244.11729782564385,0.2569103505391269,0.1191702637975449,30.222316102948,1.7963648527088,1.7946620129795,0.35058819842474,0.55066226529126,1.1976323630209,1.1965435954762,1.1522274166298
105,4.865479925268593,0.3735850746731003,343.17867706596775,0.2765239372560544,0.1191832808180792,45.194190583799,6.7506336884993,6.809405622664,0.3602131647469,0.54432821946847,4.4697874749097,4.5639947348667,4.3581346333799
106,2.157977818010548,0.3711033902319119,907.9303000772202,0.3173813227318392,0.1192804145121915,110.1997310615,3.0685625549952,3.0549138212343,0.36289533962383,0.56659424915857,2.0282663551357,2.0108093069175,1.9384041285778
107,4.452000628263567,0.3810208123670097,904.8693532204744,0.2329830344346296,0.1196873914430283,112.23592090512,6.3035272448532,6.3099868495061,0.35964189067895,0.58671610054888,4.115539251512,4.1266781462047,4.001204170043
108,4.63299407016283,0.3782003136467033,330.3272743763986,0.1663464234299366,0.119719845216911,43.659218975551,6.4922464343882,6.498881304472,0.34739805856071,0.55984777838443,4.2903929306539,4.310017146028,4.1459163612177
109,2.1946271874086767,0.3692401580148925,93.70847032928393,0.2630950726483455,0.1197732668914736,13.159573507339,3.0008173302249,2.991681839161,0.35320974512365,0.52447457108124,2.0447364206851,2.0321649011517,1.972806489485
110,2.673264028502625,0.3707831929571206,84.5950106711119,0.2275839787880014,0.1198432414205109,12.499766881423,3.622625782751,3.6205572261555,0.34971470089267,0.51544415757443,2.4712063284785,2.4660614645246,2.3873190108556
111,4.148740946523606,0.385483417894465,264.49309160948883,0.2123706308373467,0.1199606369997086,35.400366162305,5.8653148624758,5.8655216167592,0.36032910067179,0.57129794372538,3.8281199797629,3.8350724360875,3.6995043702649
112,4.524700137335083,0.3850496215132768,72.30084585905003,0.3291116464711285,0.1205126741946213,12.694772227974,5.9521553429151,5.9561889321248,0.37709440447557,0.5020503617431,4.0663811442579,4.0732611199548,3.9703869785249
113,1.8254035428160649,0.3867499803828574,532.1953467173787,0.3285195260032799,0.1206161861215876,65.797479351723,2.6264275858104,2.622836094866,0.37816626861328,0.60293165396777,1.6914652012111,1.6863701614323,1.6313156785107
